#阿莫西林#胶囊 0.25g 24盒 4.8
复方氨酚烷胺片(#感康#) 12片 盒 10.50
#利福平#胶囊 0.15g*100s 瓶 12.08 
#氯化钠#注射液 10ml:90mg 支 0.16 
#葡萄糖#注射液 20ml:10g 支 0.26 
#葡萄糖酸钙#注射液 10ml:1g 支 0.25 
速效#救心#丸 40mg*100s 盒 17.83 
#头孢拉定#颗粒 0.125g*12s 盒 2.99 
#益母草#膏 400g 瓶 11.88 
#云南白药#胶囊 0.25*16s 盒 18.39 
正#红花油# 20ml 瓶 3.89 
左#氧氟沙星#片 0.1g*6s 盒 7.90 
#半夏糖#浆 100ml 瓶 1.30 
#补中益气#丸 3g:8s*200s 瓶 7.49 
#参苓白术#丸 6g*10袋 袋 7.48 
#当归#丸 200s 瓶 5.61 
#复方阿胶#浆 20ml*12 盒 32.50 
复方#板兰根#颗粒 15g*20 袋 3.85 
#复方丹参#滴丸 150s 盒 22.77 
#复方丹参#片 60s 瓶 1.12 
复方#益肝灵#片 0.32g*100s 盒 15.41 
#宫血宁#胶囊 18s 盒 18.29 
#桂附地黄#丸 200s 瓶 12.35 
#护肝#片 100s 瓶 14.89 
#华佗再造#丸 80g 盒 26.68 
#黄芪精#口服液 10ml*10支 盒 16.00 
#黄氏响声#丸 400s 瓶 14.31 
#藿香正气#水 10ml*10支 盒 1.26 
#急支糖#浆 200ml 瓶 12.83 
#颈复康#颗粒 5g*10袋 盒 22.38 
#咳喘宁#口服液 10ml*6支 盒 13.25 
#六神丸# 10s*6支 盒 25.88 
#六味地黄#丸 200s 瓶 12.49 
#龙牡壮骨#颗粒 5g*40袋 盒 26.70 
#麻仁#丸 60g 瓶 5.60 
#马应龙麝香痔疮#膏 2.5g*5支 盒 15.25 
#明目地黄#丸 200s 瓶 12.56 
#杞菊地黄#丸 200s 瓶 12.42 
#三七#片 0.25g*20s 袋 0.81 
#麝香保心#丸 22.5mg*42s 盒 21.85 
#石斛夜光#丸 6gx10袋 瓶 24.00 
#王氏保赤#丸 0.15g*60s*20支 盒 27.25 
#胃苏#颗粒 5g*3袋 盒 10.21 
#锡类散# 1.5g 盒 5.35 
